County,MedianHouseholdIncome,TotalPopulation,PopAbove20,Citizens,MedianAge,PctMale,PctWhite,PctCollegePlusEdu,PctUninsured,PctForeignBorn,PctNonCitizen,PctDisability,PctUnemployed,PctSSI,PctOASDI,MedianHousingCosts,PctReligious,WoodardAmericanNation,LandAreaSqMiles,NCHS_UrbanRural2013,NCHS_UrbanRural2006,NCHS_UrbanRural1990,State,FoundryCounty,MexicanBorderCounty,,,,Male,Female,Age0_4,Age5_9,Age10_14,Age15_19,Age20_24,Age25_34,Age35_44,Age45_54,Age55_59,Age60_64,Age65_74,Age75_84,Age85,White,Black,AmericanIndianAlaskaNative,Asian,NativeHawaiianPacificIslander,OtherRace,Hispanic,SimpsonDiversityIndex,Population25Plus,EdK8,Ed9_12,EdHS,EdCollNoDegree,EdAssocDegree,EdBachelorDegree,EdGraduateDegree,MedianHousingCosts,Uninsured,ForeignBorn,NonCitizen,Disability,TotalEmp2015,WoodardAmericanNation,LandAreaSqMiles,Employment,LaborForce,Unemployment,TotalSSI,AgedSSI,BlindDisabledSSI,OASDI,SSIPayments,NCHS_UrbanRural2013,NCHS_UrbanRural2006,NCHS_UrbanRural1990,TotalReligiousAdherents,EvangelicalAdherents,CatholicAdherents,MormonAdherents,State,FoundryCounty,MexicanBorderCounty
1001,51281,55221,39741,54747,37.7,48.4%,78.80%,20.40%,10.00%,1.60%,0.90%,17.00%,5.40%,2.70%,1.00%,881,0.668912189,Deep South,594.4463647,Medium metro,Medium metro,Medium metro,1,FALSE,FALSE,,,,26745,28476,3242,3890,4314,4034,3422,6724,7716,8173,3530,2698,4560,2311,607,43492,10593,489,777,151,585,1440,0.362640836,36319,1394,3262,12182,8203,2841,4897,3540,881,5508,861,474,9400,17182,Deep South,594.4463647,24762,26177,1415,1497,71,1426,529,825000,Medium metro,Medium metro,Medium metro,36938,27503,1766,820,1,FALSE,FALSE
1003,50254,195121,147179,191033,42.2,48.8%,87.90%,26.70%,12.80%,3.50%,2.10%,13.60%,5.50%,1.80%,0.70%,879,0.496707171,Deep South,1589.80808,Small metro,Micropolitan (nonmetropolitan),Medium metro,1,FALSE,FALSE,,,,95314,99807,10494,12787,12868,11793,10178,22740,24627,27202,13043,14013,21054,10422,3900,171423,19682,2573,2244,24,2627,8776,0.24446235,137001,4385,9975,39431,31080,12420,26388,13322,879,24987,6864,4088,26550,103690,Deep South,1589.80808,85594,90591,4997,3510,196,3314,1295,1870000,Small metro,Micropolitan (nonmetropolitan),Medium metro,96918,57986,14009,1022,1,FALSE,FALSE
1005,32964,26932,20641,26478,38.8,53.8%,48.50%,13.80%,13.90%,2.50%,1.70%,20.50%,8.60%,5.60%,2.30%,556,0.560708451,Deep South,884.8761404,Noncore (nonmetropolitan),Micropolitan (nonmetropolitan),"With a city of 10,000 or more (nonmetropolitan)",1,FALSE,FALSE,,,,14497,12435,1476,1752,1570,1493,1833,3870,3360,3783,1848,1622,2616,1291,418,13055,12809,264,293,0,933,1241,0.551575765,18808,1732,3289,6490,3593,1350,1412,942,556,3732,683,454,5526,12074,Deep South,884.8761404,7839,8572,733,1507,110,1397,606,787000,Noncore (nonmetropolitan),Micropolitan (nonmetropolitan),"With a city of 10,000 or more (nonmetropolitan)",15101,8793,575,265,1,FALSE,FALSE
1007,38678,22604,16990,22437,38.9,53.4%,77.90%,11.60%,8.90%,1.00%,0.70%,13.30%,6.70%,4.40%,1.90%,617,0.505662715,Deep South,622.5826113,Large fringe metro,Large fringe metro,"Without a city of 10,00 or more (nonmetropolitan)",1,FALSE,FALSE,,,,12073,10531,1133,1458,1420,1603,1361,3086,3445,3131,1351,1361,1986,997,272,17612,5098,162,35,0,7,502,0.359682369,15629,1086,1938,6574,3413,954,946,718,617,2007,220,167,3008,6383,Deep South,622.5826113,8161,8747,586,1002,34,968,423,509000,Large fringe metro,Large fringe metro,"Without a city of 10,00 or more (nonmetropolitan)",11430,10159,NA,NA,1,FALSE,FALSE
1009,45813,57710,42548,55908,40.7,49.4%,96.80%,15.50%,11.50%,4.10%,3.10%,16.10%,5.50%,2.30%,0.90%,641,0.647236181,Greater Appalachia,644.8067736,Large fringe metro,Large fringe metro,Medium metro,1,FALSE,FALSE,,,,28512,29198,3545,3773,3921,3923,3140,6768,7445,8246,3740,3697,5804,2869,839,55836,1231,810,231,26,577,4980,0.0947972,39408,2745,5727,13179,8827,3850,3396,1684,641,6659,2393,1802,9291,14519,Greater Appalachia,644.8067736,23871,25262,1391,1333,65,1268,517,687000,Large fringe metro,Large fringe metro,Medium metro,37352,29223,4744,291,1,FALSE,FALSE
1011,31938,10678,8312,10291,39.3,53.0%,27.70%,11.80%,17.10%,5.40%,3.60%,17.70%,7.80%,5.60%,1.80%,543,0.589998127,Deep South,622.805615,Noncore (nonmetropolitan),Noncore (nonmetropolitan),"Without a city of 10,00 or more (nonmetropolitan)",1,FALSE,FALSE,,,,5660,5018,675,660,575,456,874,1321,1686,1421,593,859,944,437,177,2962,7570,261,22,0,0,473,0.434468539,7438,882,1732,2478,1083,232,484,547,543,1828,573,387,1885,4101,Deep South,622.805615,4665,5058,393,600,35,565,193,336000,Noncore (nonmetropolitan),Noncore (nonmetropolitan),"Without a city of 10,00 or more (nonmetropolitan)",6300,2152,49,NA,1,FALSE,FALSE
1013,32229,20354,15268,20309,40.5,46.7%,55.10%,15.70%,12.10%,0.70%,0.20%,20.10%,6.90%,5.60%,2.20%,531,0.603222954,Deep South,776.828367,Noncore (nonmetropolitan),Noncore (nonmetropolitan),"Without a city of 10,00 or more (nonmetropolitan)",1,FALSE,FALSE,,,,9502,10852,1243,1389,1314,1140,1272,2456,2353,2673,1422,1468,1954,1215,455,11211,9066,124,111,0,59,240,0.508679727,13996,1064,2038,5274,2431,1157,1173,859,531,2459,144,45,4099,9726,Deep South,776.828367,8632,9275,643,1130,84,1046,453,592000,Noncore (nonmetropolitan),Noncore (nonmetropolitan),"Without a city of 10,00 or more (nonmetropolitan)",12278,8653,77,102,1,FALSE,FALSE
1015,41703,116648,87346,114655,39.1,48.2%,77.20%,16.60%,11.70%,2.50%,1.70%,19.80%,6.60%,4.10%,1.50%,628,0.725387491,Deep South,605.8890443,Small metro,Small metro,Small metro,1,FALSE,FALSE,,,,56274,60374,6816,7538,7168,7780,8646,14763,14167,15887,8110,7706,10400,5777,1890,90106,25386,1309,1377,121,1362,4075,0.387585054,78700,4576,10445,25062,19265,5534,8437,5381,628,13685,2958,1993,23041,58328,Deep South,605.8890443,43743,46809,3066,4758,176,4582,1718,2556000,Small metro,Small metro,Small metro,84615,67564,3192,1149,1,FALSE,FALSE
1017,34177,34079,25994,33800,43,47.7%,58.60%,13.50%,13.70%,1.10%,0.80%,18.70%,5.50%,4.50%,1.70%,627,0.652924088,Deep South,596.5313573,Micropolitan (nonmetropolitan),Micropolitan (nonmetropolitan),"Without a city of 10,00 or more (nonmetropolitan)",1,FALSE,FALSE,,,,16258,17821,2040,1956,2058,2031,2180,3876,4171,4854,2790,2001,3499,1840,783,19985,13963,165,278,9,30,152,0.498516453,23814,1487,3532,9140,5051,1845,1800,959,627,4674,361,279,6366,12413,Deep South,596.5313573,14835,15706,871,1529,117,1412,593,802000,Micropolitan (nonmetropolitan),Micropolitan (nonmetropolitan),"Without a city of 10,00 or more (nonmetropolitan)",22251,12903,249,237,1,FALSE,FALSE
1019,36296,26008,20158,25946,45.4,49.9%,94.00%,15.10%,9.80%,1.00%,0.20%,22.10%,5.30%,3.50%,1.30%,588,0.47889111,Greater Appalachia,553.7199291,Noncore (nonmetropolitan),Noncore (nonmetropolitan),"Without a city of 10,00 or more (nonmetropolitan)",1,FALSE,FALSE,,,,12975,13033,1285,1509,1554,1502,1424,2524,3059,3837,2004,2154,3234,1625,297,24457,1414,323,92,7,22,391,0.133176059,18734,1451,2389,6828,4136,1352,1480,1098,588,2541,261,62,5741,8095,Greater Appalachia,553.7199291,10887,11501,614,901,45,856,329,469000,Noncore (nonmetropolitan),Noncore (nonmetropolitan),"Without a city of 10,00 or more (nonmetropolitan)",12455,10865,NA,NA,1,FALSE,FALSE
1021,41627,43819,32278,42040,38.8,49.3%,84.90%,14.40%,15.90%,5.30%,4.10%,16.80%,5.60%,3.20%,1.20%,616,0.695771241,Deep South,692.8537204,Large fringe metro,Large fringe metro,"Without a city of 10,00 or more (nonmetropolitan)",1,FALSE,FALSE,,,,21619,22200,2820,2821,3158,2742,2806,5404,6041,5843,2884,2758,3886,1958,698,37188,4689,287,202,0,1827,3350,0.278863367,29472,2391,3973,11562,5229,2166,2673,1478,616,6964,2333,1779,7342,14555,Deep South,692.8537204,18624,19720,1096,1411,63,1348,525,754000,Large fringe metro,Large fringe metro,"Without a city of 10,00 or more (nonmetropolitan)",30488,26608,709,247,1,FALSE,FALSE
