County,MedianHouseholdIncome,TotalPopulation,PopAbove20,Citizens,MedianAge,PctMale,PctWhite,PctCollegePlusEdu,PctUninsured,PctForeignBorn,PctNonCitizen,PctDisability,PctUnemployed,PctSSI,PctOASDI,MedianHousingCosts,PctReligious,WoodardAmericanNation,LandAreaSqMiles,NCHS_UrbanRural2013,State,FoundryCounty,MexicanBorderCounty
1001,51281,55221,39741,54747,37.7,48.4%,78.8%,20.4%,10.0%,1.6%,0.9%,17.0%,5.4%,2.7%,0.01,881,0.668912189,Deep South,594.4463647,Medium metro,1,FALSE,FALSE
1003,50254,195121,147179,191033,42.2,48.8%,87.9%,26.7%,12.8%,3.5%,2.1%,13.6%,5.5%,1.8%,0.007,879,0.496707171,Deep South,1589.80808,Small metro,1,FALSE,FALSE
1005,32964,26932,20641,26478,38.8,53.8%,48.5%,13.8%,13.9%,2.5%,1.7%,20.5%,8.6%,5.6%,0.023,556,0.560708451,Deep South,884.8761404,Noncore (nonmetropolitan),1,FALSE,FALSE
1007,38678,22604,16990,22437,38.9,53.4%,77.9%,11.6%,8.9%,1.0%,0.7%,13.3%,6.7%,4.4%,0.019,617,0.505662715,Deep South,622.5826113,Large fringe metro,1,FALSE,FALSE
1009,45813,57710,42548,55908,40.7,49.4%,96.8%,15.5%,11.5%,4.1%,3.1%,16.1%,5.5%,2.3%,0.009,641,0.647236181,Greater Appalachia,644.8067736,Large fringe metro,1,FALSE,FALSE
1011,31938,10678,8312,10291,39.3,53.0%,27.7%,11.8%,17.1%,5.4%,3.6%,17.7%,7.8%,5.6%,0.018,543,0.589998127,Deep South,622.805615,Noncore (nonmetropolitan),1,FALSE,FALSE
1013,32229,20354,15268,20309,40.5,46.7%,55.1%,15.7%,12.1%,0.7%,0.2%,20.1%,6.9%,5.6%,0.022,531,0.603222954,Deep South,776.828367,Noncore (nonmetropolitan),1,FALSE,FALSE
1015,41703,116648,87346,114655,39.1,48.2%,77.2%,16.6%,11.7%,2.5%,1.7%,19.8%,6.6%,4.1%,0.015,628,0.725387491,Deep South,605.8890443,Small metro,1,FALSE,FALSE
1017,34177,34079,25994,33800,43,47.7%,58.6%,13.5%,13.7%,1.1%,0.8%,18.7%,5.5%,4.5%,0.017,627,0.652924088,Deep South,596.5313573,Micropolitan (nonmetropolitan),1,FALSE,FALSE
1019,36296,26008,20158,25946,45.4,49.9%,94.0%,15.1%,9.8%,1.0%,0.2%,22.1%,5.3%,3.5%,0.013,588,0.47889111,Greater Appalachia,553.7199291,Noncore (nonmetropolitan),1,FALSE,FALSE
1021,41627,43819,32278,42040,38.8,49.3%,84.9%,14.4%,15.9%,5.3%,4.1%,16.8%,5.6%,3.2%,0.012,616,0.695771241,Deep South,692.8537204,Large fringe metro,1,FALSE,FALSE
1023,33536,13395,10296,13386,44.9,47.6%,56.5%,13.7%,13.3%,0.2%,0.1%,24.6%,8.9%,6.2%,0.025,440,0.725718552,Deep South,913.5003556,Noncore (nonmetropolitan),1,FALSE,FALSE
1025,32011,25070,18728,25002,41.1,47.2%,53.7%,13.6%,15.0%,0.5%,0.3%,15.3%,10.8%,5.8%,0.024,511,0.816513761,Deep South,1238.46489,Noncore (nonmetropolitan),1,FALSE,FALSE
1027,35327,13537,10167,13257,43.8,49.3%,83.2%,12.5%,14.1%,2.1%,2.1%,17.6%,6.0%,3.8%,0.014,487,0.761246953,Deep South,603.9612501,Noncore (nonmetropolitan),1,FALSE,FALSE
1029,38056,15002,11224,14848,41.3,48.9%,95.6%,11.6%,13.5%,1.5%,1.0%,20.0%,6.3%,3.5%,0.012,557,0.76409812,Deep South,560.1044796,Noncore (nonmetropolitan),1,FALSE,FALSE
1031,46729,50884,37560,49625,38.8,49.5%,79.5%,22.6%,11.2%,4.2%,2.5%,16.9%,6.0%,2.9%,0.011,668,0.648946624,Deep South,678.9859313,Micropolitan (nonmetropolitan),1,FALSE,FALSE
1033,40576,54444,41263,53727,42.2,48.3%,81.9%,18.2%,11.0%,1.9%,1.3%,19.9%,6.7%,3.9%,0.015,628,0.694383219,Greater Appalachia,592.6199081,Small metro,1,FALSE,FALSE
1035,24900,12865,9728,12776,43.7,48.0%,53.1%,10.6%,20.7%,1.0%,0.7%,24.6%,8.6%,5.8%,0.022,397,0.586863583,Deep South,850.1568219,Noncore (nonmetropolitan),1,FALSE,FALSE
1037,31212,11027,8689,10848,45.1,50.6%,69.2%,10.9%,15.2%,1.8%,1.6%,21.6%,6.4%,4.3%,0.016,555,0.557540582,Deep South,650.9263588,Micropolitan (nonmetropolitan),1,FALSE,FALSE
1039,36444,37886,28744,37752,42.6,48.4%,85.6%,16.7%,13.1%,1.0%,0.4%,21.2%,6.8%,3.9%,0.016,550,0.617272871,Deep South,1030.456261,Noncore (nonmetropolitan),1,FALSE,FALSE
1041,36022,13938,10272,13758,41.3,49.2%,72.7%,14.8%,12.1%,2.4%,1.3%,18.0%,5.8%,4.8%,0.02,493,0.630219544,Deep South,608.8397775,Noncore (nonmetropolitan),1,FALSE,FALSE
1043,38971,80965,60803,79482,40.5,49.5%,97.0%,17.4%,14.8%,2.5%,1.8%,15.6%,5.2%,3.2%,0.013,654,0.775631446,Greater Appalachia,734.8977919,Micropolitan (nonmetropolitan),1,FALSE,FALSE
1045,45028,49866,36622,49140,36.8,49.5%,77.0%,18.1%,12.7%,3.2%,1.5%,19.0%,6.0%,3.9%,0.015,624,0.495969197,Deep South,561.1261951,Micropolitan (nonmetropolitan),1,FALSE,FALSE
1047,27306,42154,30289,42001,38.7,46.1%,29.4%,14.4%,13.9%,0.8%,0.4%,19.3%,9.2%,10.2%,0.035,582,0.629738578,Deep South,978.6945399,Micropolitan (nonmetropolitan),1,FALSE,FALSE
1049,38192,71068,51603,66825,39.3,49.9%,88.6%,13.4%,16.7%,7.6%,6.0%,15.2%,6.1%,3.1%,0.013,540,0.553976473,Greater Appalachia,777.0940374,Noncore (nonmetropolitan),1,FALSE,FALSE
1051,53555,80763,60130,79707,37.9,48.7%,77.2%,20.5%,8.8%,2.0%,1.3%,16.0%,5.1%,2.9%,0.01,845,0.461188911,Deep South,618.4879882,Medium metro,1,FALSE,FALSE
1053,32330,37935,28433,37833,40.3,51.5%,62.8%,13.1%,17.4%,0.6%,0.3%,18.8%,6.6%,4.0%,0.016,485,0.606669303,Deep South,945.0804427,Noncore (nonmetropolitan),1,FALSE,FALSE
1055,39220,103766,78226,101915,40.8,48.4%,82.6%,17.0%,13.0%,2.7%,1.8%,20.1%,6.1%,4.6%,0.017,624,0.809571536,Greater Appalachia,535.2841471,Small metro,1,FALSE,FALSE
1057,34680,16896,12840,16851,43.2,50.2%,86.7%,14.5%,9.4%,0.4%,0.3%,25.6%,6.9%,4.7%,0.02,458,0.653349905,Greater Appalachia,627.6836872,Noncore (nonmetropolitan),1,FALSE,FALSE
1059,35372,31634,23186,29573,38.8,48.4%,89.4%,12.1%,15.7%,8.8%,6.5%,19.0%,6.1%,3.7%,0.015,533,0.645381551,Deep South,633.8168806,Noncore (nonmetropolitan),1,FALSE,FALSE
1061,36024,26815,20272,26238,42.2,49.1%,88.3%,13.8%,15.2%,2.6%,2.2%,21.4%,5.9%,4.6%,0.018,468,0.614879731,Deep South,574.4083403,Small metro,1,FALSE,FALSE
1063,20541,8697,6434,8697,42.4,47.1%,19.0%,11.6%,14.5%,0.2%,0.0%,27.7%,10.1%,9.1%,0.035,453,0.278831781,Deep South,647.1047903,Noncore (nonmetropolitan),1,FALSE,FALSE
1065,32714,15256,11215,15220,40.2,47.1%,40.3%,13.3%,12.1%,1.0%,0.2%,20.1%,7.6%,7.3%,0.029,532,0.624737808,Deep South,643.9429507,Small metro,1,FALSE,FALSE
1067,41997,17252,13303,17041,43,47.9%,71.2%,17.1%,12.1%,1.4%,1.2%,19.4%,6.6%,3.6%,0.016,605,0.475017389,Deep South,561.7503072,Small metro,1,FALSE,FALSE
1069,41571,103534,76567,102306,39,47.9%,71.3%,19.8%,12.7%,2.4%,1.2%,17.6%,5.8%,3.9%,0.015,694,0.782921552,Deep South,579.8663518,Small metro,1,FALSE,FALSE
1071,37745,52860,40153,52205,42.2,49.3%,93.8%,14.4%,14.2%,2.3%,1.2%,16.9%,6.3%,3.2%,0.013,521,0.547143398,Greater Appalachia,1077.867422,Micropolitan (nonmetropolitan),1,FALSE,FALSE
1073,45610,659026,489672,641066,37.4,47.3%,53.7%,26.0%,11.7%,4.0%,2.7%,14.5%,6.0%,3.7%,0.012,873,0.837985148,Deep South,1111.288546,Large central metro,1,FALSE,FALSE
